pair_index,c,d,shift,target_survival_count,target_survival_frequency,h_-720_persistent_covered,h_-720_survival_count,h_-720_survival_frequency,h_-360_persistent_covered,h_-360_survival_count,h_-360_survival_frequency,h_0_persistent_covered,h_0_survival_count,h_0_survival_frequency,h_360_persistent_covered,h_360_survival_count,h_360_survival_frequency,h_720_persistent_covered,h_720_survival_count,h_720_survival_frequency,mean_control_frequency_numerator,mean_control_frequency_denominator,mean_control_frequency_decimal,target_minus_mean_control_frequency_numerator,target_minus_mean_control_frequency_denominator,target_minus_mean_control_frequency_decimal,rank_target_survival_frequency,rank_target_excess_above_control_mean,rank_target_deficit_below_control_mean
59,3,8,390652,65,0.252918287937743190661478599222,0,69,0.268482490272373540856031128405,0,64,0.249027237354085603112840466926,0,65,0.252918287937743190661478599222,0,63,0.245136186770428015564202334630,0,72,0.280155642023346303501945525292,268,1028,0.260700389105058365758754863813,-2,257,-0.00778210116731517509727626459144,80,310,97
60,3,9,1953152,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,223,181,125
61,3,10,9765652,66,0.256809338521400778210116731518,0,71,0.276264591439688715953307392996,0,72,0.280155642023346303501945525292,0,66,0.256809338521400778210116731518,1,0,0,0,75,0.291828793774319066147859922179,218,1028,0.212062256809338521400778210117,23,514,0.0447470817120622568093385214008,67,119,289
62,3,11,48828152,42,0.163424124513618677042801556420,0,49,0.190661478599221789883268482490,0,53,0.206225680933852140077821011673,0,42,0.163424124513618677042801556420,1,0,0,0,54,0.210116731517509727626459143969,156,1028,0.151750972762645914396887159533,3,257,0.0116731517509727626459143968872,190,150,259
63,3,12,244140652,0,0,1,0,0,0,71,0.276264591439688715953307392996,1,0,0,0,66,0.256809338521400778210116731518,0,74,0.287937743190661478599221789883,211,1028,0.205252918287937743190661478599,-211,1028,-0.205252918287937743190661478599,224,375,33
64,3,13,1220703152,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,225,182,126
65,3,14,6103515652,65,0.252918287937743190661478599222,1,0,0,1,0,0,0,65,0.252918287937743190661478599222,0,66,0.256809338521400778210116731518,0,52,0.202334630350194552529182879377,118,1028,0.114785992217898832684824902724,71,514,0.138132295719844357976653696498,81,15,393
66,3,15,30517578152,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,226,183,127
67,3,16,152587890652,66,0.256809338521400778210116731518,0,67,0.260700389105058365758754863813,0,65,0.252918287937743190661478599222,0,66,0.256809338521400778210116731518,0,72,0.280155642023346303501945525292,0,70,0.272373540856031128404669260700,274,1028,0.266536964980544747081712062257,-5,514,-0.00972762645914396887159533073930,68,312,94
68,4,0,82,62,0.241245136186770428015564202335,0,64,0.249027237354085603112840466926,0,72,0.280155642023346303501945525292,0,62,0.241245136186770428015564202335,1,0,0,1,0,0,136,1028,0.132295719844357976653696498054,28,257,0.108949416342412451361867704280,110,31,377
69,4,1,86,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,227,184,128
70,4,2,106,63,0.245136186770428015564202334630,1,0,0,0,66,0.256809338521400778210116731518,0,63,0.245136186770428015564202334630,0,67,0.260700389105058365758754863813,0,65,0.252918287937743190661478599222,198,1028,0.192607003891050583657587548638,27,514,0.0525291828793774319066147859922,101,105,302
71,4,3,206,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1028,0,0,1,0,228,185,129
72,4,4,706,0,0,0,62,0.241245136186770428015564202335,0,57,0.221789883268482490272373540856,1,0,0,0,58,0.225680933852140077821011673152,1,0,0,177,1028,0.172178988326848249027237354086,-177,1028,-0.172178988326848249027237354086,229,344,64
73,4,5,3206,50,0.194552529182879377431906614786,1,0,0,0,55,0.214007782101167315175097276265,0,50,0.194552529182879377431906614786,1,0,0,0,50,0.194552529182879377431906614786,105,1028,0.102140077821011673151750972763,95,1028,0.0924124513618677042801556420233,175,43,364
