h,pair_index,c,d,shift,survival_count,survival_frequency_numerator,survival_frequency_denominator,survival_frequency_decimal,first_winning_k,last_winning_k,longest_consecutive_winning_run,never_wins,wins_every_k,leave_anchor_out_survival_count,leave_anchor_out_frequency_numerator,leave_anchor_out_frequency_denominator,leave_anchor_out_frequency_decimal
-720,334,19,11,1211089592,59,59,257,0.229571984435797665369649805447,-125,127,2,0,0,,,,
-720,335,19,12,1406402092,61,61,257,0.237354085603112840466926070039,-125,124,3,0,0,,,,
-720,337,19,14,7265777092,59,59,257,0.229571984435797665369649805447,-126,127,2,0,0,,,,
-720,339,19,16,153750152092,72,72,257,0.280155642023346303501945525292,-122,127,3,0,0,,,,
-720,340,20,0,3486784402,61,61,257,0.237354085603112840466926070039,-126,125,3,0,0,,,,
-720,342,20,2,3486784426,69,69,257,0.268482490272373540856031128405,-127,122,3,0,0,,,,
-720,344,20,4,3486785026,65,65,257,0.252918287937743190661478599222,-126,128,3,0,0,,,,
-720,345,20,5,3486787526,56,56,257,0.217898832684824902723735408560,-127,125,2,0,0,,,,
-720,346,20,6,3486800026,68,68,257,0.264591439688715953307392996109,-127,125,2,0,0,,,,
-720,348,20,8,3487175026,62,62,257,0.241245136186770428015564202335,-126,125,3,0,0,,,,
-720,350,20,10,3496550026,72,72,257,0.280155642023346303501945525292,-126,128,3,0,0,,,,
-720,351,20,11,3535612526,55,55,257,0.214007782101167315175097276265,-123,126,3,0,0,,,,
-720,352,20,12,3730925026,68,68,257,0.264591439688715953307392996109,-123,128,3,0,0,,,,
-720,354,20,14,9590300026,58,58,257,0.225680933852140077821011673152,-123,125,3,0,0,,,,
-720,356,20,16,156074675026,66,66,257,0.256809338521400778210116731518,-127,125,3,0,0,,,,
-720,359,21,2,10460353228,63,63,257,0.245136186770428015564202334630,-125,127,3,0,0,,,,
-720,361,21,4,10460353828,72,72,257,0.280155642023346303501945525292,-125,127,3,0,0,,,,
-720,362,21,5,10460356328,50,50,257,0.194552529182879377431906614786,-120,128,3,0,0,,,,
-720,365,21,8,10460743828,61,61,257,0.237354085603112840466926070039,-125,127,3,0,0,,,,
-720,367,21,10,10470118828,69,69,257,0.268482490272373540856031128405,-125,123,3,0,0,,,,
-720,368,21,11,10509181328,52,52,257,0.202334630350194552529182879377,-128,106,2,0,0,,,,
-720,371,21,14,16563868828,68,68,257,0.264591439688715953307392996109,-122,118,3,0,0,,,,
-720,373,21,16,163048243828,62,62,257,0.241245136186770428015564202335,-125,119,3,0,0,,,,
-720,374,22,0,31381059610,62,62,257,0.241245136186770428015564202335,-126,125,3,0,0,,,,
-720,376,22,2,31381059634,64,64,257,0.249027237354085603112840466926,-127,125,3,0,0,,,,
-720,378,22,4,31381060234,60,60,257,0.233463035019455252918287937743,-124,128,3,0,0,,,,
-720,382,22,8,31381450234,59,59,257,0.229571984435797665369649805447,-127,128,3,0,0,,,,
-720,384,22,10,31390825234,66,66,257,0.256809338521400778210116731518,-118,124,3,0,0,,,,
-720,386,22,12,31625200234,67,67,257,0.260700389105058365758754863813,-124,128,3,0,0,,,,
-720,391,23,0,94143178828,59,59,257,0.229571984435797665369649805447,-126,127,3,0,0,,,,
-720,393,23,2,94143178852,62,62,257,0.241245136186770428015564202335,-114,127,3,0,0,,,,
-720,396,23,5,94143181952,48,48,257,0.186770428015564202334630350195,-112,128,3,0,0,,,,
-720,397,23,6,94143194452,64,64,257,0.249027237354085603112840466926,-125,127,3,0,0,,,,
-720,399,23,8,94143569452,72,72,257,0.280155642023346303501945525292,-125,127,3,0,0,,,,
-720,402,23,11,94192006952,55,55,257,0.214007782101167315175097276265,-122,127,3,0,0,,,,
-720,403,23,12,94387319452,65,65,257,0.252918287937743190661478599222,-124,127,3,0,0,,,,
-360,0,0,0,2,54,54,257,0.210116731517509727626459143969,-124,125,2,0,0,,,,
-360,3,0,3,126,56,56,257,0.217898832684824902723735408560,-127,126,2,0,0,,,,
-360,5,0,5,3126,70,70,257,0.272373540856031128404669260700,-127,125,3,0,0,,,,
-360,6,0,6,15626,51,51,257,0.198443579766536964980544747082,-128,128,3,0,0,,,,
-360,7,0,7,78126,66,66,257,0.256809338521400778210116731518,-128,128,3,0,0,,,,
-360,9,0,9,1953126,64,64,257,0.249027237354085603112840466926,-127,125,3,0,0,,,,
-360,11,0,11,48828126,60,60,257,0.233463035019455252918287937743,-127,128,3,0,0,,,,
-360,12,0,12,244140626,55,55,257,0.214007782101167315175097276265,-128,122,3,0,0,,,,
-360,13,0,13,1220703126,65,65,257,0.252918287937743190661478599222,-127,126,3,0,0,,,,
-360,15,0,15,30517578126,60,60,257,0.233463035019455252918287937743,-128,121,3,0,0,,,,
