point_ordinal,mask_index,class_index,point_index,n,T,mask_sha256
136,136,52,1,201605003434,56,230b2cb17fcdb1af9abc32a8881f69ab024e1867bce81e312a5e4fae55cceb25
137,137,53,1,201715049234,30,f223c2e6913ebf1470d8d0f657961025f66423f9af0246e6958b8967e1133bc5
138,138,54,1,201730466594,33,0d7080d7a18e1e5c78c463383d9d3610098f9b092cf298dc6178c46e25b3251d
139,139,55,1,201799844714,24,9e2820a08bb7a5f092cf1490c9b37ebbdd6fe0784e70fbf206679aef56b1e0e4
140,140,56,1,201815262074,26,d3aa3f0416ac47bd31673fb38a5817c9080ba4698c36183f62c46b8eee336088
141,141,57,1,201884640194,33,ef36dab727ceaec84b2ef76abbe92afcc5427fb04974e3cc378d68bcec8e75c9
142,142,58,1,202050455474,29,95e075bb862d27c362389f04dd5d9610d11a97a0d578a3a8d76177788a58c408
143,143,59,1,202563004034,31,97dd0893fa25ebefca91859cc8c61c0268ad356226869e70c35c0f6615eaf9d3
144,144,60,1,202578421394,35,a2576a239e946ca7e80a796163b889a1c9ade64ed89f1090936c9c3ae9bee061
145,145,61,1,202647799514,23,a10f514e947734a65dce06d2f6a6c1145f07dea1d0ae64d99505be966cb812c7
146,146,62,1,202813614794,34,b4dadd078af6b192445b8b8303d9c5a0de882a4cc951040cd8db2f65c422fa0f
147,147,63,1,202986981434,34,b4cbd1bc8a4c3045ed6514c01593bc77f10b93327616ef1909c2c387a8690426
148,148,64,1,203237592194,43,7cb6450994fec8021f8547cc7a4a922b6f2ea73c8540b64df8220c775669004a
149,149,65,1,203341580714,29,a5322d8dd13477a1368bdcdb40b64a3e41041b195544a429d18a8576ed859fac
150,150,66,1,203421411874,52,8a43b8cd307454093959579939727aef81a381ff045dbf9367ca514c32094040
151,151,67,1,203495754314,34,758098611f6bab0f9772be6f87bd7e7ff885f9b9286413aefd734d51bf5d199f
152,152,68,1,203576774114,33,74f66dbb8bbd1ded89df6235892cf46f2a365d77561d2a351e9de62d95127425
153,153,69,1,203680762634,32,5cae64a1ba2bbd92fac544dee35d7e03a761c868e1815f11d0c59b945b630252
154,154,70,1,203750140754,28,878b034571ac4d1ef1a5f08082ddb6ffc43357dd84d6581933e2a5f27c300240
155,155,71,1,203912333074,56,52fa04ae245487b0eee15eaff2dff4c417930ad9bab4af1b0d595edf9740ade4
156,156,72,1,203919731714,26,8989a440d62128e88511abedf431ad622488e4a24c43e2a05f750c7594692c3e
157,157,73,1,204274330994,25,bdf300a85d4e7845ef18f99eaf1f757f9a8c3147785e9a25dd59dd09f0a16370
158,158,74,1,204305070034,57,175231db1f9f450d85194dc5528bdbb73c52f96c92c67c4b79de2c4904da8776
159,159,75,1,204598095554,22,3242983e42221f1723f1be8a7b45a02dc74b500130a26c4bfeaecfe574aaf11d
160,160,76,1,204679115354,31,f7431a42dd7c41cdec17092947e5f48cc78c1cad4c52c7f8818a1ca66110580c
161,161,77,1,204795991234,54,6174c81f7fbd4817d98edbd47d589e743ec2f6944c6bee57ef37ae7800f2aeb8
