pair_index,c,d,shift,odd_winner_numerator,odd_denominator,even_winner_numerator,even_denominator,pool_winner_numerator,pool_denominator,odd_class_prevalence,even_class_prevalence,pool_class_prevalence
346,20,6,3486800026,0,2334,0,2337,0,4671,0,0,0
347,20,7,3486862526,0,2334,0,2337,0,4671,0,0,0
348,20,8,3487175026,649,2334,606,2337,1255,4671,42,42,84
349,20,9,3488737526,0,2334,0,2337,0,4671,0,0,0
350,20,10,3496550026,610,2334,643,2337,1253,4671,42,42,84
351,20,11,3535612526,0,2334,0,2337,0,4671,0,0,0
352,20,12,3730925026,640,2334,615,2337,1255,4671,42,42,84
353,20,13,4707487526,0,2334,0,2337,0,4671,0,0,0
354,20,14,9590300026,623,2334,616,2337,1239,4671,42,42,84
355,20,15,34004362526,0,2334,0,2337,0,4671,0,0,0
356,20,16,156074675026,0,2334,0,2337,0,4671,0,0,0
357,21,0,10460353204,0,2334,0,2337,0,4671,0,0,0
358,21,1,10460353208,0,2334,0,2337,0,4671,0,0,0
359,21,2,10460353228,0,2334,0,2337,0,4671,0,0,0
360,21,3,10460353328,0,2334,0,2337,0,4671,0,0,0
361,21,4,10460353828,0,2334,0,2337,0,4671,0,0,0
362,21,5,10460356328,949,2334,945,2337,1894,4671,42,42,84
363,21,6,10460368828,0,2334,0,2337,0,4671,0,0,0
364,21,7,10460431328,0,2334,0,2337,0,4671,0,0,0
365,21,8,10460743828,0,2334,0,2337,0,4671,0,0,0
366,21,9,10462306328,0,2334,0,2337,0,4671,0,0,0
367,21,10,10470118828,0,2334,0,2337,0,4671,0,0,0
368,21,11,10509181328,927,2334,971,2337,1898,4671,42,42,84
369,21,12,10704493828,0,2334,0,2337,0,4671,0,0,0
370,21,13,11681056328,0,2334,0,2337,0,4671,0,0,0
371,21,14,16563868828,0,2334,0,2337,0,4671,0,0,0
372,21,15,40977931328,0,2334,0,2337,0,4671,0,0,0
373,21,16,163048243828,0,2334,0,2337,0,4671,0,0,0
374,22,0,31381059610,618,2334,620,2337,1238,4671,42,42,84
375,22,1,31381059614,0,2334,0,2337,0,4671,0,0,0
376,22,2,31381059634,654,2334,651,2337,1305,4671,42,42,84
377,22,3,31381059734,0,2334,0,2337,0,4671,0,0,0
378,22,4,31381060234,662,2334,643,2337,1305,4671,42,42,84
379,22,5,31381062734,0,2334,0,2337,0,4671,0,0,0
380,22,6,31381075234,627,2334,656,2337,1283,4671,42,42,84
381,22,7,31381137734,0,2334,0,2337,0,4671,0,0,0
382,22,8,31381450234,0,2334,0,2337,0,4671,0,0,0
383,22,9,31383012734,0,2334,0,2337,0,4671,0,0,0
384,22,10,31390825234,642,2334,652,2337,1294,4671,42,42,84
385,22,11,31429887734,0,2334,0,2337,0,4671,0,0,0
386,22,12,31625200234,636,2334,663,2337,1299,4671,42,42,84
387,22,13,32601762734,0,2334,0,2337,0,4671,0,0,0
388,22,14,37484575234,666,2334,648,2337,1314,4671,42,42,84
389,22,15,61898637734,0,2334,0,2337,0,4671,0,0,0
390,22,16,183968950234,682,2334,684,2337,1366,4671,42,42,84
391,23,0,94143178828,0,2334,0,2337,0,4671,0,0,0
392,23,1,94143178832,0,2334,0,2337,0,4671,0,0,0
393,23,2,94143178852,0,2334,0,2337,0,4671,0,0,0
394,23,3,94143178952,0,2334,0,2337,0,4671,0,0,0
395,23,4,94143179452,0,2334,0,2337,0,4671,0,0,0
396,23,5,94143181952,0,2334,0,2337,0,4671,0,0,0
397,23,6,94143194452,0,2334,0,2337,0,4671,0,0,0
398,23,7,94143256952,0,2334,0,2337,0,4671,0,0,0
399,23,8,94143569452,0,2334,0,2337,0,4671,0,0,0
400,23,9,94145131952,0,2334,0,2337,0,4671,0,0,0
401,23,10,94152944452,0,2334,0,2337,0,4671,0,0,0
402,23,11,94192006952,927,2334,992,2337,1919,4671,42,42,84
403,23,12,94387319452,0,2334,0,2337,0,4671,0,0,0
404,23,13,95363881952,0,2334,0,2337,0,4671,0,0,0
405,23,14,100246694452,0,2334,0,2337,0,4671,0,0,0
406,23,15,124660756952,0,2334,0,2337,0,4671,0,0,0
