record_type,low_or_n,high,exposure_levels,component_ids
sparse_integer,239181395213,239181395213,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239194651394,239194651394,E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK;E4_DIRECT_ORACLE_OR_WITNESS_VERIFIED,P5_FAMILY_U_CENSUS
sparse_integer,239209621742,239209621742,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239209622102,239209622102,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239209622462,239209622462,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239209622822,239209622822,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239209623182,239209623182,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,K4_PROGRESSION_PANEL;LEGACY_COMPLETE_PRIOR_REGISTRY_V1
sparse_integer,239212043714,239212043714,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239216506634,239216506634,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
sparse_integer,239229895394,239229895394,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,LEGACY_COMPLETE_PRIOR_REGISTRY_V1;P4_CALIBRATION_AND_G231
