k,target_T,control_h_-720_T,control_h_-360_T,control_h_360_T,control_h_720_T,control_median,control_minimum,control_maximum,target_minus_control_median,target_rank_among_five,target_unique_minimum,target_tied_minimum,target_below_all_four_controls,target_below_at_least_three_controls
-55,48,48,63,45,42,46.5,42,63,1.5,3,0,0,0,0
-54,62,64,72,72,71,71.5,64,72,-9.5,1,1,0,1,1
-53,43,44,54,47,49,48,44,54,-5,1,1,0,1,1
-52,57,66,66,75,60,66,60,75,-9,1,1,0,1,1
-51,47,60,46,51,40,48.5,40,60,-1.5,3,0,0,0,0
-50,31,26,46,39,30,34.5,26,46,-3.5,3,0,0,0,0
-49,48,55,52,47,62,53.5,47,62,-5.5,2,0,0,0,1
-48,27,26,36,34,38,35,26,38,-8,2,0,0,0,1
-47,44,49,55,47,46,48,46,55,-4,1,1,0,1,1
-46,60,57,67,59,62,60.5,57,67,-0.5,3,0,0,0,0
-45,51,46,63,53,52,52.5,46,63,-1.5,2,0,0,0,1
-44,63,62,71,80,60,66.5,60,80,-3.5,3,0,0,0,0
-43,42,44,59,46,48,47,44,59,-5,1,1,0,1,1
-42,32,33,38,43,28,35.5,28,43,-3.5,2,0,0,0,1
-41,50,38,51,47,42,44.5,38,51,5.5,4,0,0,0,0
-40,23,37,46,33,38,37.5,33,46,-14.5,1,1,0,1,1
-39,33,45,57,53,53,53,45,57,-20,1,1,0,1,1
-38,62,70,65,71,60,67.5,60,71,-5.5,2,0,0,0,1
-37,55,43,58,57,49,53,43,58,2,3,0,0,0,0
-36,71,59,74,72,68,70,59,74,1,3,0,0,0,0
-35,51,51,49,53,54,52,49,54,-1,2,0,0,0,0
-34,33,19,49,38,39,38.5,19,49,-5.5,2,0,0,0,1
-33,49,46,54,54,57,54,46,57,-5,2,0,0,0,1
-32,27,35,40,24,29,32,24,40,-5,2,0,0,0,1
-31,43,47,56,40,50,48.5,40,56,-5.5,2,0,0,0,1
-30,51,69,67,69,67,68,67,69,-17,1,1,0,1,1
-29,54,36,51,52,64,51.5,36,64,2.5,4,0,0,0,0
-28,56,59,67,58,70,63,58,70,-7,1,1,0,1,1
-27,44,52,55,62,44,53.5,44,62,-9.5,1,0,1,0,1
-26,37,30,34,31,45,32.5,30,45,4.5,4,0,0,0,0
-25,44,47,59,54,67,56.5,47,67,-12.5,1,1,0,1,1
-24,35,41,32,35,28,33.5,28,41,1.5,3,0,0,0,0
-23,47,50,54,52,39,51,39,54,-4,2,0,0,0,1
-22,65,68,67,72,66,67.5,66,72,-2.5,1,1,0,1,1
-21,50,42,45,48,51,46.5,42,51,3.5,4,0,0,0,0
-20,72,72,68,65,74,70,65,74,2,3,0,0,0,0
-19,48,44,54,53,51,52,44,54,-4,2,0,0,0,1
-18,29,40,39,44,31,39.5,31,44,-10.5,1,1,0,1,1
-17,46,42,47,47,40,44.5,40,47,1.5,3,0,0,0,0
-16,25,35,35,26,40,35,26,40,-10,1,1,0,1,1
-15,50,47,49,52,54,50.5,47,54,-0.5,3,0,0,0,0
-14,57,71,74,65,51,68,51,74,-11,2,0,0,0,1
-13,49,44,63,45,50,47.5,44,63,1.5,3,0,0,0,0
-12,59,68,78,68,73,70.5,68,78,-11.5,1,1,0,1,1
-11,39,44,44,61,42,44,42,61,-5,1,1,0,1,1
-10,41,25,43,28,40,34,25,43,7,4,0,0,0,0
-9,40,49,54,57,47,51.5,47,57,-11.5,1,1,0,1,1
-8,32,47,38,35,36,37,35,47,-5,1,1,0,1,1
-7,46,54,57,56,46,55,46,57,-9,1,0,1,0,1
-6,65,69,71,69,55,69,55,71,-4,2,0,0,0,1
-5,61,43,67,50,56,53,43,67,8,4,0,0,0,0
-4,67,59,77,70,76,73,59,77,-6,2,0,0,0,1
-3,43,55,45,53,49,51,45,55,-8,1,1,0,1,1
-2,32,27,33,40,29,31,27,40,1,3,0,0,0,0
-1,43,38,54,51,50,50.5,38,54,-7.5,2,0,0,0,1
0,16,39,45,39,34,39,34,45,-23,1,1,0,1,1
1,49,50,55,56,51,53,50,56,-4,1,1,0,1,1
2,71,66,81,77,67,72,66,81,-1,3,0,0,0,0
3,49,39,50,52,49,49.5,39,52,-0.5,2,0,0,0,0
4,72,63,77,79,70,73.5,63,79,-1.5,3,0,0,0,0
5,42,41,48,49,46,47,41,49,-5,2,0,0,0,1
6,33,30,38,39,34,36,30,39,-3,2,0,0,0,1
7,46,38,54,44,46,45,38,54,1,3,0,0,0,0
8,24,37,41,27,37,37,27,41,-13,1,1,0,1,1
9,58,54,46,62,48,51,46,62,7,4,0,0,0,0
10,64,71,68,76,73,72,68,76,-8,1,1,0,1,1
11,47,35,63,49,57,53,35,63,-6,2,0,0,0,1
12,65,64,70,75,68,69,64,75,-4,2,0,0,0,1
13,47,50,56,50,43,50,43,56,-3,2,0,0,0,1
14,31,26,46,32,38,35,26,46,-4,2,0,0,0,1
15,36,43,62,47,56,51.5,43,62,-15.5,1,1,0,1,1
16,27,34,37,39,25,35.5,25,39,-8.5,2,0,0,0,1
17,47,49,55,54,54,54,49,55,-7,1,1,0,1,1
18,59,73,73,73,59,73,59,73,-14,1,0,1,0,1
19,46,41,50,49,55,49.5,41,55,-3.5,2,0,0,0,1
20,67,65,79,75,63,70,63,79,-3,3,0,0,0,0
21,36,51,48,52,45,49.5,45,52,-13.5,1,1,0,1,1
22,30,31,44,30,31,31,30,44,-1,1,0,1,0,1
23,45,42,62,52,52,52,42,62,-7,2,0,0,0,1
24,29,44,29,37,40,38.5,29,44,-9.5,1,0,1,0,1
25,44,46,40,59,45,45.5,40,59,-1.5,2,0,0,0,1
26,62,69,75,65,67,68,65,75,-6,1,1,0,1,1
27,43,49,60,60,50,55,49,60,-12,1,1,0,1,1
28,67,58,76,81,70,73,58,81,-6,2,0,0,0,1
29,42,55,52,56,42,53.5,42,56,-11.5,1,0,1,0,1
30,45,35,37,32,39,36,32,39,9,5,0,0,0,0
31,49,39,59,40,43,41.5,39,59,7.5,4,0,0,0,0
32,25,48,43,25,38,40.5,25,48,-15.5,1,0,1,0,1
33,44,60,49,59,34,54,34,60,-10,2,0,0,0,1
34,60,65,54,72,51,59.5,51,72,0.5,3,0,0,0,0
35,41,39,58,48,45,46.5,39,58,-5.5,2,0,0,0,1
36,65,60,80,76,57,68,57,80,-3,3,0,0,0,0
37,52,46,53,51,40,48.5,40,53,3.5,4,0,0,0,0
38,24,29,51,24,34,31.5,24,51,-7.5,1,0,1,0,1
39,49,42,57,56,45,50.5,42,57,-1.5,3,0,0,0,0
40,36,37,38,30,29,33.5,29,38,2.5,3,0,0,0,0
41,49,50,59,60,44,54.5,44,60,-5.5,2,0,0,0,1
42,54,70,59,68,61,64.5,59,70,-10.5,1,1,0,1,1
43,50,40,47,51,56,49,40,56,1,3,0,0,0,0
