n,H8,live_projection_digest,full_mask_digest,CRT_class,confirmed_E1_E4_intersection,conservative_superset_intersection,unknown_exposure,confirmed_exact_T_intersection,possible_exact_T_intersection
224348928194,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,783413714,False,UNKNOWN,True,False,UNKNOWN
232252759514,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,783413714,False,UNKNOWN,True,False,UNKNOWN
242414828354,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,783413714,False,UNKNOWN,True,False,UNKNOWN
184521830114,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
192425661434,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
200329492754,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
208233324074,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
216137155394,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
224040986714,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
231944818034,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
239848649354,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,475472234,False,UNKNOWN,True,False,UNKNOWN
184213888634,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
192117719954,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
200021551274,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
207925382594,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
215829213914,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
223733045234,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
231636876554,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
239540707874,199,628f2e2e15a637a5deb93d1e564068fe59c5d6aca60c58f15ff735ec0f3b6f57,6a0555db66f17cc7bd916970edbafecd6c368f2aabfb33e58bedbf1c2839e82c,167530754,False,UNKNOWN,True,False,UNKNOWN
184292779754,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
192196611074,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
200100442394,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
208004273714,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
215908105034,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
223811936354,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
231715767674,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
239619598994,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,246421874,False,UNKNOWN,True,False,UNKNOWN
183984838274,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
191888669594,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
199792500914,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
207696332234,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
215600163554,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
223503994874,199,839e00d71e21cdbac743a0e0264caff99a239f23581a5e5ec5abe4628229cb68,275e013f2a5e9b0728071e38b73c59fadc7c1ff658153cec02c2e3372bdbba5a,1067599154,False,UNKNOWN,True,False,UNKNOWN
