record_type,n,record_id,normalized_low,normalized_high,source_id,source_artifact_sha256,source_commit,exposure_levels,certainty,outcome_influenced_selection,provenance_completeness,boundary_convention
integer,184626069194,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184648383794,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184652846714,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184670698394,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184673186354,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184675161314,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184701938834,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184710864674,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184724253434,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
integer,184737642194,,,,LEGACY_COMPLETE_PRIOR_REGISTRY_V1,428f5abee8462d21777326c9fbdf9aa215d722f43d9ceaed75b980e30c4158af,1a3b130536245ef8fcd318b591e1dd37c03eef06,E1_BINARY_REPRESENTABILITY_CHECK;E2_EXACT_T_COUNT;E3_COMPLETE_WINNER_MASK,CONFIRMED,MIXED,COMPLETE,NOT_APPLICABLE_SPARSE
