t3,t7,t11,t23,mask_digest,crt_residue,modulus,member_count,previously_designed_class,previously_evaluated_integer_count,fresh_integer_count,minimum_fresh_integer,maximum_fresh_integer,member_digest,fresh_member_digest
2,6,39,21,a38772b075834493a161dacd9fed0c54919e4aacb432792f1f8f5d90041f7bf9,568694594,1129118760,56,False,1,55,184615052474,246716584274,ba2666e56d7c398d4654243c3b05f71ae0974b20b387efa3a66720ec93e946a9,5489886be35b220703ebe9fdce2747abeed50357373bbc5da6ff6cbc77cb2b63
2,6,39,28,e595397e273ca6b237cfe4c4902cd055ab6b9e70e0d110e6f898dd9b1a571a29,312561794,1129118760,56,False,1,55,184358919674,246460451474,72ceafd5c5fab3cc94088226e5cbf30b20b629afcdb7f305d03682b53d97620e,24b7529f65620fb3896875beeab1bd795d2a05db4f7e56807a6c40e4181575f9
2,6,39,67,9b1df8959de954b231858436f43941107190261eca14cfd2f4b58c45bfb80e3f,175957634,1129118760,56,False,1,55,184222315514,246323847314,1808aa8c57bcc92c6eabe9add11d9f2be2179f1b0519260aa65e8acb7394d331,ec9cec8b64206ae93f2b8802a2b15d4daadfcf44a6640cb14d1489400e496dd8
2,6,39,74,5f2df420f5d39eacaac1acf995f87bd56aa8a1f480a97dc321d9ccbc05392e00,1048943594,1129118760,55,False,2,53,185095301474,246067714514,81e8fef6e37e6149c448dd51599744363d20d8595c283b289b6525b4188f5504,59a972c5d48f52f5a0004847903cefa9a25dc283d885c0c321f44f14b25dd8d0
2,6,39,90,a38772b075834493a161dacd9fed0c54919e4aacb432792f1f8f5d90041f7bf9,1108707914,1129118760,56,False,1,55,184025947034,246127478834,e5b19ede7a33c1977db5449ba68289737043534498b94a38febbf77afebcc694,fbb0ec4294c891d48ee7d61edd5a3620cf88cef977d3b57ec852f772e915eb32
2,6,39,97,60e5f622856523b2dc029df5bdc9b82be95eecf384a995ad31e200efcd568c7e,852575114,1129118760,55,False,2,53,184898932994,245871346034,4fe258ba8ae61e23cc9a2b2cf637bbe0abd1a96ebfedd41e069aed38b64e3f51,7a6f5546ea0cec62b730572c52543d6992d8e058a447b9d7dbebf71f1f5603e3
2,6,39,113,88c31a1e37b7370524bdd6bcbaef042aa696011dcf9c7e7d0019d9c94b01664f,912339434,1129118760,55,False,2,53,184958697314,245931110354,9ab1b67d20149f898a958d0b19577944792a04f24e6ab10ce40ffc9e63ee1572,19a990aedc0f4cebe61d56cf46ffab9940149354c586512514fbf92cff2a953f
2,6,39,120,60e5f622856523b2dc029df5bdc9b82be95eecf384a995ad31e200efcd568c7e,656206634,1129118760,55,False,2,53,184702564514,245674977554,168100b92828c5374115869370053a72e2c34d21e5d7e2e135df93d91e6eb7a8,1a47f93f128f407440a337bcc1b9ed246b37370f586d7d72a32708492f8223ac
2,6,39,136,a38772b075834493a161dacd9fed0c54919e4aacb432792f1f8f5d90041f7bf9,715970954,1129118760,55,False,2,53,184762328834,245734741874,3bb721c3f44eec61b4ed71d33f2d048e2e051cf768c3dc8cd0c68704b9c78442,7f9554ef7ac15e562786143f6a66a29c3e94c6aa0c63e6034efaf13b1ca02a09
2,6,39,143,8af1dae9352ceb27b87bc94f9ad95fff43723d3302606ba1190c5479f41ac001,459838154,1129118760,56,False,1,55,184506196034,246607727834,aa4a1560b388d5d7936c1d7024978a559fcdaa7352c0eaf43a48420bd8484b44,db9f82c6c56d2ff53e55e91fd42e010b29056656bf74552ce1dbdd72f805d41a
